"","newid","intno","year","firmth","nint","cdall","age","white","black","male","hsgrad","lesscol","colgrad","fam_size","nchle11","nch1217","persot64","hw","single","hwyng","hwchbs","hwchis","hwchas","spchbs","spchis","hwold","retired","headwrk","spouwrk","incweek1","inc_hrs1","incweek2","inc_hrs2","fincreal","owner","renter","ne","mw","west","urban","msa","ps4mil","ps1mil","ps330k","ps125k","tv","comp","sound","vcr","vehq","coldormi","occucod1","weight"
"5361",88051,4,1998,6,1,0,23,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,-1,31758.43
"5362",91030,2,1998,4,0,0,50,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52,40,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,1,1,2,4,0,14,8863.6
"5363",106815,5,2000,8,1,34.77444,62,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0.6795113,1,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,0,-1,14345.17
"5364",87629,4,1998,6,1,0,45,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,23430.46
"5365",92140,3,1998,8,1,89.64143,56,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,7.300797,1,0,0,1,0,1,1,1,0,0,0,2,0,1,1,4,0,-1,27795.51
"5366",94805,4,1998,11,1,59.58292,40,1,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,52,56,5.551142,1,0,0,0,0,1,1,0,0,1,0,2,0,1,1,3,0,14,16797.92
"5367",111552,4,2000,12,0,0,64,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,19675.07
"5368",111343,3,2000,7,0,0,47,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,9,51,70,3.586441,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,10,16391.06
"5369",113217,2,2000,5,0,0,51,1,0,1,0,0,1,6,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,36,40,52,15,7.549669,1,0,0,1,0,1,1,1,0,0,0,3,3,2,3,7,0,2,11358.89
"5370",88061,4,1998,6,0,0,37,1,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,45,52,40,0,1,0,0,0,1,1,1,0,1,0,0,2,1,1,1,0,0,1,12636.16
"5371",116989,5,2000,12,0,0,54,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,45,0,0,3.355079,1,0,1,0,0,1,1,1,0,0,0,4,1,1,2,5,0,7,12416.96
"5372",91060,5,1998,12,1,19.84137,43,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,40,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,2,0,14,8159.271
"5373",114605,5,2000,10,1,0,37,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,40,52,40,3.604869,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,11,6316.761
"5374",108474,2,2000,2,0,0,31,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,47,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,7,12909.97
"5375",113691,3,2000,12,1,0,39,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,3,0,4,2,1,0,-1,16307.2
"5376",89638,5,1998,10,0,13.9166,38,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,50,0,0,4.970179,1,0,0,0,1,1,1,1,0,0,0,2,1,1,1,0,0,2,25301.5
"5377",103391,4,2000,3,0,9.514748,75,1,0,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,50,45,0,0,0,1,0,0,0,1,1,1,1,0,0,0,4,1,1,2,2,0,3,13375.63
"5378",93372,3,1998,11,1,0,82,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1.83575,1,0,0,1,0,1,1,0,1,0,0,2,0,0,1,1,0,-1,9641.715
"5379",88082,3,1998,2,1,0,32,1,0,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,50,52,40,0,1,0,0,1,0,1,1,0,0,1,0,2,1,1,2,1,0,1,23768.67
"5380",91164,4,1998,11,1,0,45,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.484608,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,4,15096.64
"5381",111618,2,2000,4,1,0,72,1,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,2.192789,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,2,0,-1,631.217
"5382",94320,3,1998,12,1,0,59,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,50,0,0,3.670635,1,0,0,1,0,1,1,0,1,0,0,2,1,1,1,1,0,4,5120.634
"5383",115335,3,2000,11,1,0,23,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,12,15,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2,0,3,0,0,0,10,15988.1
"5384",113766,3,2000,10,1,0,21,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,-1,7099.443
"5385",117124,2,2000,12,1,0,40,1,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,52,40,52,40,0,1,0,1,0,0,1,1,1,0,0,0,4,1,2,2,5,0,7,13713.33
"5386",87440,4,1998,4,1,0,38,1,0,1,1,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,50,25,10.71071,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,6,19022.74
"5387",101751,5,2000,2,1,0,82,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0.7391221,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,0,-1,13083.3
"5388",89759,4,1998,9,0,79.60209,39,1,0,1,0,0,1,6,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,52,20,0,0,2.079602,0,1,1,0,0,1,1,0,1,0,0,3,1,1,2,3,0,7,14612.41
"5389",93292,3,1998,9,1,49.75134,37,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,70,0,0,9.552239,0,1,0,0,1,1,1,1,0,0,0,2,1,1,1,2,0,10,22065.44
"5390",92191,2,1998,4,1,0,28,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,52,50,0,0,5.305305,1,0,0,0,0,1,1,0,1,0,0,3,1,1,1,2,0,1,11545.15
"5391",92520,3,1998,6,1,0,42,1,0,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,52,40,52,25,6.698302,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,2,0,3,9560.51
